game,is_Recommended,hours_players,comment
godfall,Recommended,268.5,"Posted: June 17
Since the game will not receive any updates anymore, here are some things you can expect:

1 - Combat and gameplay is awesome. It can get a bit boring on the Exalted Tower because the easiest way to get efficient on combat is to spam Weapon Techniques, particulary with Long Swords, which gives you invulnerability frames. Good or bad, use whatever works for you to reach the end.

2 - Limited crafting: quest rewards aren't an efficient way to get items version of whatever you need and upgrading rarity from items gives completely random affixes, so the best way to get better items is just to drop them. Important to note that the best way to farm Amulets and Charms with two primary affixes are to spam Dreamstone of the Expansion bosses (Moirax and Kragani). Getting your resistances capped and good amount of damage affixes can be tricky, but it's easier than you think: usually two items with that base resistance (or one upgraded one) is enough, coupled with some ""all resistances"" traits.

3 - Make use of the Codex to understand the gameplay as you play it. Don't try to read it all at once. Most of the effects don't display numbers or specific informations, but it will help you out.

4 - Gorgeous Graphics, poor clarity. You will get what I mean in the later floors of the Tower.

5 - Some Cursed Items are mandatory for builds and can be found in LightBringer and in the Exalted Tower. They have painful quests to be completed to revert their negative secundary affixes to positives values.

6 - Think less and Slay more: spam dreamstones when short on game time. Try the Ascended or Exalted Tower when you have 90min or more in a play session. Dreamstone are a great way (althought boringly easy) to farm the special Amulet and Necklace, getting orbs for gear upgrades or Coins to pay the Tower fee. Dreamstones should be done solo.

7 - Some people can experience a bug where the Tower have no cost: abuse it. The cost for the Tower is completely pointless. Exalted Tower is worth paying for even if you can clear at least 3 ou 4 floors. Always choose Primal/Cursed/other in this order. I've played with a friend where I hosted all the story quests of the campaign. While he also got the completion for it, his Tower was free, which helped a lot in grinding gear. Maybe doing this will replicate the bug.

8 - This is NOT a game to be played just for the campaign. This is a game supposed to be played extensively, but lacks the depth to be your main and only game. Keep grinding in Godfall betwen games to amount resources and try builds, which is where the game shines.

9 - I've bought it with a disccount, but for the time I played, I believe it's worth it's full price if you are into this grinding fiesta. Great brainless activity. Try to play at least the Spirit Realm with a friend, because that mode sucks ass and you have to get it done for some of the Armours.

10 - When doing Lightbringer in a group, only the person that interacts with the Light Caches counts as opening it, so balance out which one is doing this requirement. Playing in a group helps, but the game will Only start a multiplayer session if the party is full (3 people) or after 3 minutes. Yes, I've waited 3 minutes EACH TIME FOR EVERY ♥♥♥♥♥♥♥ MISSION/MODE when I played with my friend.

11 - You can find content creators with build ideas and guides, but there isn't much to learn besides what is written here, but the Journey is fun. Just don't start at max level (yes, that is a feature) and dont upgrade your items before you hit 50.

12 - Don't spam the ""Mass Salvage"" option: there are a lot of low rarity items that, once enchanted to Legendary are the Best in Slot for that Armour Playstyle (specialy the Lion's Charm, the Dragoncoil Long Sword, some Rings and Lifestones and Banners in general).

13 - The best way to farm Resources for upgrading items is throught Volatile Dreamstone. Make sure to always choose the higher stability until you reach 75+, then you can decide from there. Always make the optional objetives. Slowly you will get the gist of it. But most importantly: rebember to spend the Shaping resource betwen every level, only getting the specific resources you need (ie. Orbs and Coins of Valor, mostly) or saving for that buy after the next level.

14 - There are free codes online that awards different skins for some Armours. Goolgle it. It is easy to find.

15 - You can Kill the Dreamstone Boss with a finished build, switch to a loadout where you have tons of cursed items for quests and then execute the boss for those Cursed Quests."
godfall,Recommended,0.4,"Posted: April 7, 2022
Truth be told, Godfall isn't so bad of a game. But it's not a landmark must play either. There is nothing new to see here. Everything within, you've likely done before -- perhaps more times than you can count. But at the very least it offers a somewhat competent experience; but that is only because you have been spared the Early Access state of the game which first emerged on the Epic Store.

Godfall is best described as that insufferable person you knew in High School that claimed to have the all the very best ideas. According to them, their dream title would be set within an awesome and amazing world; where one may experience epic clashes not just against monsters, but against the very gods themselves!! Surely once you sat down with that person and finally heard what they had to say, you were met with not only wholly unoriginal ideas -- but those that were incredibly trite and insanely shallow as well. This is the nature of Godfall; and by extension, Counterplay Games. For without a shadow a doubt, the inexperienced developers over at Counterplay found this ambitious title to be well beyond their means.

But is it truly such a bad game? In the end there are numerous games of far poorer quality. Yet to measure oneself upon the failures of others, is to merely crown oneself as King of a hill of corpses. It is a painfully mediocre game; crap of the highest quality; a truly polished turd if there ever was one. Despite that, it is still somewhat playable. There is enjoyment to be had here, in the same vein that there is enjoyment to be had in eating a tub of icecream while bingeing RomComs. You'll be given a sense of mild satiation, but there are far better things you can do with your time.

Godfall is a strange creature; it proclaims great things, but underdelivers in just about every front. Furthermore, it has tried to appoint itself as King of a genre by coining a new term (Looter-Slasher), and exploiting the Google Search results of that term. But there is nothing new to be found here. Godfall follows beat-for-beat gameplay and mechanics introduced in titles such as Hellgate: London (2007), Dungeon Defenders (2010), and more recently even Warframe (2013). You will encounter much of what you've experienced before; narrow hallways connecting a collecting of small areas populated by a handful of monsters. Breakable objects throughout contain currency, health, and the occasional hidden collectable just out of reach.


The history of Godfall has been a turbulent at best. It was the very definition of rushed to launch, where any early adopter at that time was rendered an involuntary Beta Tester. Upon the game's release there was only a handful of things to do and the only legitimate Endgame was the Ascended Tower of Trials; which at the time was an endless assortment of floors that promised randomized encounters. However, anyone who made it past floor 30 would be quick to tell you that all floor patterns repeated indefinitely until you either died or simply got bored of the effort.

The game boasted a few different modes, one of them being Explore the Realm; which allowed you to tackle one of the three regions available at the time (Earth, Water, or Air) -- unhindered by story prompts and cut scenes. It was, at the time, one of the more promising of the modes as it encouraged you to make use of many underutilized features like Spirit Vision. However, the Water and Air Regions of this mode were fraught with game breaking glitches that left them entirely unplayable. Rendering the Earth Region the only example of a feature complete Explore Mode at the time.

However, instead of providing prompt fixes to these issues; Explore the Realm Mode was stripped from the game entirely and replaced with a stripped down version. After an additional year of development, it was finally re-released when they introduced the fourth and final realm; Fire. Another example of troubled development was the game's Augmentation System. This allowed players to slot upgrades into Valorplates so that they may better tune their builds. One such Augment, known as Void Shell, was improperly coded. This was a High Tier Legendary Augment that a lot of players wished to use due to its regenerative and defensive properties. However, the augment remained useless until the Lightbringer Update; which came out more than a year and a half after release. But these are just some of the problems that help to paint a picture of how this game has performed.


As noted before, the Ascended Tower of Trials was the only viable Endgame for a great deal of time. This was no longer the case of the Lightbringers Update, and the new six-man mode introduced alongside the game's release of Steam. Yet one of the most painful and game breaking bugs with the Ascended Tower of Trials persists to this very day, and one that traps players and renders them incapable of completing the mode at intended. The Tower consists of a variety of chambers. Accessing each chamber prompts the player with a challenge that they must complete in order to progress. However, it has been a known issue that sometimes not all of the enemies properly spawn into the playfield. This means the player is unable to complete the objective as the all enemies haven't been killed. The door would then remain locked, forever trapping the player. This would then force them to abandon the mission and lose all progress.

Despite this, Players retain all loot gained, but any Boons or positive effects they've acquired along the way are stripped -- as the run is considered finished. Boons are unique buffs which are ushered in via RNG, meaning a run can be extremely easy or incredibly difficult depending on which Boons you happen by. A 'Good Run' could be completely stolen from the Player because the game failed to do what it was designed to do; which is incredibly infuriating to say the least. This has been a problem since Beta, and unfortunately may still persist well into the Steam release. But that has yet to be determined as of the writing of this review.

Other Modes, such as Lightbringer; offer a unique experience with a variety of Lamps that a player can activate. These lamps provide not only a haven for the Player, but guide them toward a variety of objectives sprawled throughout the map. However, there was little care and foresight in the positioning of these lamps. If a Player is not careful they can find themselves trapped. They can descend from higher terrain into a gap between the lamp and a few rocks, rendering them unable to move. Since there is no handy recall function, this means the only way to escape is to die or to Abandon the mission entirely. Either way, this can spell the end of run via means beyond the player's control.


Overall the game isn’t bad, but it’s not a masterpiece either. There are far worse games out there. This is very much a solid value at $30 US, and I genuinely mean that. This game is far better than similar titles like Outriders. This has the benefit of several years of additional development, so it’ll be coming out the gate on Steam swinging. It’s far from the puttering fart of a game it was on Epic a few years back. I recommend it, but I outlined all of my hang-ups in this review so you can make a very informed purchase.

(More in Comments Below)"
godfall,Not Recommended,81.9,"Posted: April 9, 2022
honestly its meh but, requires online to play single-player campaign and boots you if your internet disconnects."
godfall,Not Recommended,24.7,"Posted: January 15
When a $50 game going for $20 is enough to compete with the red flag of being 60% off, six months after release, you may be at an impasse of what to do. Not to fear, Gearbox has arrived to remind you that making a poor financial decision is always an option on the table.

Godfall is a weapon-porn simulator created by a California company where none of their 75 staff members ever stopped to ask if this was a good idea. You follow a character named Orrin, who leads a Vodyani-like civilization of people who only seem to exist in suits of armour and take on the characteristics of them. Your arch-nemesis is your bother and the narration is constantly floored that it has come to this.

It becomes increasingly clear that the people that came to work on this game from Destiny 2 were limited to the design and graphics staff, as characters’ one-dimensional lines perpetually embed a question of whether or not you’re playing a satire. Can the lines really be this bad? Surely it will pick up in the next dialogue!

Despite being the supreme military leader, you will never command your people in battle. Indeed, the entire war effort relies exclusively on your personal combat and resource-gathering prowess to sustain the faction. The function of your underlings is exclusively to cry at all hours how amazing it is to bask in your very presence, just in case staring at gleaming weapons wasn’t your kink after all.

Combat is interesting, and really it has to be because there’s nothing else holding this game together. The controls are a bit contrived and the commands seem sluggish to respond. I feel like a lot of games really focus the dodge tactic, a la Dark Souls, Hyper Light, etc. This one really focuses on blocking. Enemies always run faster than you and there’s an excellent chance that if you dodge laterally or diagonally, they will rotate with magical magnetic-gravity to whatever your position becomes, irrespective of physics. So, while dodging is a mechanic that exists, it’s unfeasible to use it most of the time.

This is similarly mirrored in weapons, of which a variety exist, though most are unfeasible to use. Each weapon type is accompanied by the same special attack, but they certainly aren’t all created equal. While dual swords are enjoyable to me in most games, in this one their special attacks do not passively charge, and only provide a grapple when it’s finally ready. Contrast this with a single sword type, which auto-charges two dash attacks, one of which has a four-auto-hit combo, or a polearm type where you can area-effect a ground slam. To use anything other than an effective weapon class would be self-sabotage, so why do they exist?

Levels are nonsensical and probably the biggest knife in the chest of this game. When you kill enemies, you recover weapons (or you buy them), those weapons have a damage and a rarity. At great expense, you can increase their rarity or improve their stats within the rarity to make them more effective. Weapons, no matter how improved, will always be rooted to the level you were when you bought or found them. Hold that thought for a moment.

You can play missions on low, medium, or hard difficulties. All this means is whether the enemies spawn slightly below your level (which they call the traditional experience (what?)), at your level, or slightly above your level. If you use a profoundly improved weapon, enemies at your level will be a cakewalk, but they will net you experience which will eventually make your weapon obsolete. At that point, you should just as well use almost anything you can find as a replacement.

In order to improve a weapon again, you’ll need money and resources, which you could gather in easy missions, but doing so will still increase your level and make more things obsolete. Like Oblivion, it’s really not in your interest to level up, as it results in power *regression* and not *progression* relative to everyone else. You cannot improve weapons as fast as they will become ineffective, so unless you’re heading out to do a one-off major thing, there’s really no point to investing in any item at all. Certainly don’t get attached to any weapons you find, you won’t be using them long and you can’t save their skins.

You can, indeed, change skins for your weapons and armour; however, 90% of the time, those skins are locked to areas that you only open up after beating the game. Meaning that if there is a look you quite like for your character or weapons, chances are you will need to play the entire game, without customisation, only to be able to use the skins for a few minutes after doing everything there was to do and turning the game off forever.

If the question is whether you should get this game for twenty bucks or a nice sandwich and dill spear,

My review is negative."
godfall,Recommended,102.7,"Posted: April 9, 2022
GodFall is a 3rd person hack and slash ARPG /looter, it is not a ""live service"" game and there are no micro transactions. It is just a clean cut ARPG/looter for solo and co-op players. If you enjoy creating powerful and fun builds in your ARPG and like grinding to perfect your build in-order to take on the games most difficult end game content then you will enjoy this game.

I was an original purchaser of the EPIC version on release and even though I enjoyed the gameplay, at that time the game was plagued with bugs, performance issues, and lack of content. Now with the release of the steam version ""ultimate edition"" the game is in a really good state and the Devs have provided almost every wanted feature their community asked for. With the hate this game got ( and still gets unfortunately), the devs could have easily abandoned this game but instead they took the constructive criticism the community gave them and provided everything that was asked for. So for that alone I have s lot of respect for the Devs.

What the game is GOOD at:

-Combat mechanics, are very weighty and satisfying with multiple classes of melee weapons (1 hand, duel wield, greatsword, warhammer, spears and the shield (which every class has access to).

-Visuals/animations - this game looks very good from its shiny textures (the art style is not for everyone) down to its smooth animations.

-Loot/Gear - - the gear in this game is very fun the play around with and like most good ARPGs you can define a unique build from the gear pieces you find.

- Build Variety - - This game is just so fun to try different builds because the game offers so many mechanics to build around. There is your typical status ailment builds including fire, ice/water, lighting, bleed, void, and poison (each of which have more to them then just tick damage). You can also make a build based around the Shield combat it you want. The valorplates (or classes) are also now differentiated by the new valorplate shards which can be unlocked to give powerful new mechanics/abilities, one example being calling forth a blizzard to deal water damage while you fight (so cool).

-Endgame - - the endgame is where this game shines with tons of modes to grind your preferred gear, challenge modes to test your build against the toughest encounters.

-Co-op - - this is one of those games where you can have a blast just hacking and slashing with friends, one endgame mode even allows up to 6 players at 1 time.

- Solo play - - This game is also soloable and no content is locked behind co-op or is impossible without others which I like a lot and wish more ARPG/looter games did this.

- (Mixed) Enemy Variety - - This game has a lot of interesting enemies to fight each originating from itheir own ""realms"" even has a nice bestiary to look at. This biggest issue is that none of the normal enemies get any sort of introduction so even though they are very mechanical and visually different they all seem to meld together, which was a missed opportunity imo.

- Current sale Price $29 is a steal with the content you are getting with this game.

- Performance - - Now I do have a RTX 3080 and Ryzen 3800x so my rig is not a slouch but I can play at 1440p maxed out (minus raytracing) and get a smooth 100-144fps without issues.

What the game is bad at / What this game is NOT:

- Story - - The story in the game is pretty generic and forgettable due to the lack of meaningful character development and single note story beats. The fire realm DLC had a lot more character then the main story but they still could have did a lot more with the lore/world they had. Funny enough the game has some interesting lore about its characters if you choose to read item descriptions but unfortunately it does not come through in the story at all.

- Online only - - Yes unfortunately this game is online only and requires an internet connection to play (No you don't need to sign in or create an account of any kind to play). While it currently does not effect me I understand why people don't like this practice and one can only hope the devs can make it playable offline as some point.

- It can be repetitive - - This is a looter where you will be doing a lot of endgame grinding to gear up your build, so you will be fighting the same bosses and sub boss over and over again, the new mode does give bosses interesting and new mechanics but as most looters go you need to set a goal to work/build towards otherwise it will feel like endless grinding. Now if your goal is to create the strongest builds possible to get up to (and beat) that really challenging content then this won't effect you as much.

- Visual Effects - - Some effects are way to bright and can block the screen when activated like the lighting bolts. It seems like the Bloom is way too high but it is a small issue.

- Bugs - - While I have not experienced any bugs there is 1 particular bug that can prevent you from using you shield or abilities when unlocking new valorplates. I believe the devs know and are working on a fix.

- This game is NOT like God Of War as others seem to indicate and if you go into this game expecting that you WILL be disappointed. The focus is not on story/characters/world, nor is it an action/adventure game. The most similarities this game has to God of War is its combat (which is one of the best parts) because some of the God Of War devs had their hand in this games development.

SUMMARY:

To sum it up, if you like ARPGs/looters for their builds, gear, and endgame and just want to jump in and grind /build your own powerful characters you will enjoy this game but if you are looking for anything else (especially story related) it may not hit the mark for you.

Overall I do recommend people try this game for themselves because this game is not what it was on launch and instead it is what it should have been at launch and more."
godfall,Recommended,405.2,"Posted: June 4, 2022
There is no denying that this game has many advantages and disadvantages. I have played for a long time and have a deep understanding of this game. Of course, what you can see is that this game has bad reviews on steam platform. Let me give you my opinions about this game.
First of all, this game should be classified in the third person action ""farm"" game, rather than the class ""dark-souls"" game. So if you compare it with the dark souls, you can refund or delete the game. It's really not that kind of taste... For me, this game is more similar to <Torchlight>. The main feature is to collect the best equipment and match it with your character. Of course, it is a third person sight game, not a god sight game. The plot of this game is relatively short. Many ""farm"" games are like this. They ignore the plot and focus on the equipment system. But this is harmless. Players who really like this kind of games won't care too much.
Next, let me talk about the advantages of this game. The graphs of this game are very exquisite. The scenes in the game are very big and the scenery are very beautiful. The appearance of armor and weapons are very cool, which is very attractive to the <Graph Quality> guys. Of course, many ""poor children"" paid a price for it.
Well, this game may only have these advantages. Aside from these, the rest are almost all disadvantages. This is also the reason that why the evaluation of this game can not rise. Let me give a few examples.
Such as, there is no map in the game. This is very unfriendly to new players, because many scenes in the game are large, and it is difficult for new players to find their way without a map. Although there are game arrows, but many players are not used to it.
Second, it was too difficult to deal with a group of monsters in the early game. Most of the time, when the monster is out of your sight, you can only see a red arrow to prompt the monster to attack you, it is difficult to find what skill it uses and how to avoid. As a result, you are often attacked by monsters covertly behind your back, which makes many players angry. However, it is worth mentioning that shield-block is an easy-to-use skill. Once you master it, it will reduce the difficulty for new players. This is also an advantage of the game. After all, hardcore gameplay like the <dark souls> is not for everyone.
In addition, there are many bugs in the game. This seriously affects the game experience. And the <Soul realm> mode in the game is very boring and time-consuming, and the rewards are also very bad. Once the game enters the later stage, the playing method is monotonous. Basically to say, except for the <Soaring tower> playing method and the <Extraordinary tower> playing method, other playing methods are very boring and time-consuming.
Unfortunately, the above is not the worst part of the game. As a single player game, this game only can be run online. You need to load every time you enter the game. However, the quality of the developers' servers are extremely poor. I think EA and Ubisoft's Inferior servers are better than developers. I have suffered a lot from this.
In my opinion, all kinds of bad factors add up to the fact that many players can't keep playing at the beginning, that's why the reputation of this game has gradually become so bad. If developers want to recover from the decline, they must fix bugs and improve playing methods, reduce the difficulty in the early stage and find ways to let new players continue to play, because the equipment system can only find joys in the later stage, that is, after level 50.
I don't know how long I can keep playing, but I know if the developer doesn't make any changes, the game will be over. It's up to you, man.
Finally, by the way, I saw a lot of people say a very interesting review. They said that game content planners should kowtow to art developers, Emm, I agree.
--------------------------------------------------
Manual achievement:
63/63"
godfall,Recommended,1.5,"Posted: November 29, 2022
Product received for free

🕘 IMPRESSION:
* Year 2020: Game released
* Year 2021: Received a free copy from Epic
* Year 2022: Started playtest on Challenger Edition
* 1 hour later: It is much better than the video review :)
* 2 hours later: Wow... surprising good :D
* 3 hours later: All location no longer good as first 2 hours :(
* 4 hours later: Now I understand why the review...

🟢 = Available +1
🔴 = Not available -1

EXPECTATION CHECKLIST:
🟢 High Quality Visuals
🟢 Master Skills on Melee Weapon
🟢 Replace weapon in every loot
🟢 Armor Set Recolor
🟢 Throwing Shield as Main & only Long Range Attack
🔴 Offline single-player mode
🔴 Variety of combat style
🔴 Retrieve player death loots before vanish
🔴 Free Roam in Open World
🔴 Score / Time Attack for replay value


🏅 Community Rating:
🔎 Long Version Checklist ➜
📢 Mocking on Short Hours + Criticize ➜


* Godlike graphic & well optimized
* No microtransactions
* Crossplay works only; Steam + EGS, PS4 + PS5, Xbox One + Xbox Series
* Allow to start up with Max Level Character for instant end game content
* No socket slot for looted equipment
* No special effect on each looted equipment
* No important looting equipment until max lvl 50
* Must use normal attack at most of the time
* One & only type of long range attack, same for every loadout
* Long range attack only allow once & very slow cooldown

* Challenger Edition = No story mode, but free access to lvl 50
* Ultimate Edition = Standard version with a few weapon
* Valorplates = Classes / Armor Set
* Endgame= Endless Challenges after story mode
* Tutorial cost at least 2 chapters to end it, about 60+ min
* Browsing inventory will not pause the game no matter solo mode or not
* Epic saved progress cannot move to Steam

* It is a Warframe clone ➜ Disagree, more like Diablo + God of War
* No allow singleplayer campaign in offline ➜ True, sadly true...
* Lack of option in crowd combat ➜ Agree
* Lack of option in 1v1 Boss fight ➜ Agree

Remember to 👍 for me if you liked this review:
🔔 More similar reviews ➜ and follow this Curator, or
🤝 Visit Our Gaming Discussion ➜"
godfall,Not Recommended,3.4,"Posted: September 17, 2022
I was really looking forward to this game when it was announced and was disappointed to see that almost all the reviews of this game were either mixed or negative. I decided to not play the game and move on. However, recently I was running out of video games to play, so I thought ""meh……why not try out Godfall. Hopefully it won't be too bad""……..welp, I was wrong.

On paper, Godfall looks like it should be a great game. It's a loot slasher, which is very unique. The closest thing I can think of is Warframe, but even that's focused more on shooting than melee. Furthermore, the ""slasher"" component is very in-depth. The closest comparison I can make in regards to the combat is God of War, since Godfall has light attacks, heavy attacks, certain combos, charged heavy attacks, blocking, parrying, dodging, a rage mode, and certain ""special moves"" you can do that deal a lot of damage. That all looks like it should make for an in-depth combat system. This combined with a loot system like in Diablo sounds like the game should be a lot of fun.

The problem is that the game is simply not designed very well. Neither the ""looter"" component nor the ""slasher"" component. The looter component is designed very poorly because you fundamentally don't care what loot you get. You just equip whatever weapon/equipment has the highest main stats. While there's a bunch of secondary effects, they're typically nowhere near as important as the main stats (e.g. damage, health, etc…). While I imagine the loot becomes a lot more important in the end game and you create actual builds with the items, a good loot system should not take until the end game to get good. A good loot system should be engaging throughout the experience. For example, in Monster Hunter you never equip armor just because it has the highest defense. In fact, that's probably the least important aspect of the armor. You equip it because of the skills they provide, and are constantly thinking about which armor provides you the skills you want from the very beginning. Even in Path of Exile, you look forward to getting equipment that has 2 linked sockets then 3, 4, etc… In Godfall, I was never excited to find any loot.

The slasher component is not just poorly designed. It's HORRENDOUSLY designed. Like, I can accept a sub-par loot system. Most slashers don't have a great loot system anyways, and I can just wait until the end game until I can start enjoying the loot system. However, if the combat itself is not enjoyable, then there's no way I am going to waste hours of my time to MAYBE enjoy the loot system. The problem with Godfall's combat system is that none of the enemies are designed around the limitations of the player. For example, you will regularly face groups of enemies (around 3-6). Your character can really only attack one enemy at a time, yet you will very often get attacked by multiple enemies at once. A solution to this is to parry enemies, which stuns a group of enemies in front of you, or to use your special moves which stun a bunch of enemies at once. The problem with relying on parrying is that you will regularly be in situations where enemies are both in front and behind you (I mean hell, enemies can SPAWN behind you), so parrying will likely not stun all enemies. The problem with relying on your special moves is that they have a long cooldown, so you will likely be facing a new group of enemies once you've used your special move to defeat the previous group of enemies.

I could even accept sub-par enemies. Again, it's not like a lot of Hack-and-Slash games have the best enemies I've faced. Some are good, some are bad. While Godfall's enemies are hit and miss, overall they're ok. And hell, for some missions you can just run past the enemies and go straight to the bosses. Unfortunately, the last straw are the bosses themselves, as they're an even better example of how enemies are not designed around the limitations of the player. So with regular enemies, you can parry all of their attacks except their ""red"" attacks. So you can parry them quite often (i.e. parrying them is the rule, not the exception). However, for bosses you can only parry their ""blue"" attacks. Welp, bosses only have like 1 attack in their AI that's blue, so they only use it like once every 20 - 30 seconds (i.e. parrying them is the exception, not the rule). What are you supposed to do in the meantime? If you try to parry their other attacks, your character will get knocked back (WHY???!!!) and you might be able to get like one attack off before the boss moves onto their next attack. If you dodge their attack, your character will get off like maybe 2 attacks. Neither situation is very satisfying, since this isn't Dark Souls where you're satisfied with doing just 1 attack in between the bosses' attacks. In order to deal decent damage, you want to get off a full combo which is like 3-4 attacks. There was a relatively easy fix to this. Just design all bosses to be like Sekiro where the goal is parry each of their attacks, and have the reward for each successful parry be that the boss is stunned for a few seconds such that you can get off a full combo on them. I.e. instead of the EXCEPTION being that you can parry a boss's attack, make that the RULE and the exception be that there are rare attacks that can't be parried (i.e. make them similar to regular enemies). As it stands you only get rewarded for parries once every 20 - 30 seconds, and the reward for any other parry is that you simply don't take damage, which is lame.

There are also a few more unique situations which are also not fun to face. There are bosses that will douse an area around them with a DOT effect. This forces you to retreat from them, and then you have to just wait around for a few seconds until the boss comes close to you because you don't really have a ranged attack in this game. There's another boss which will shoot at you from range and when you get close to her, she'll teleport away and you have to repeat the process over and over again.

Like……none of this fun to face. It's not fun to have an enemy spawn behind you and interrupt your attacks as you're trying to combo down the enemy in front of you. It's not fun to only significantly damage a boss once every 20-30 seconds. It's not fun to randomly wait around every few seconds because the boss forced you to retreat. It's not fun to chase around a teleporting boss with a huge health bar. I've seen some YouTube videos of some end game builds, and they typically revolve around either spamming their special abilities which causes you to be invulnerable and does huge AOE damage, or getting ""over health"" which is basically another health bar so that you can just ignore enemy attacks and just keep attacking while you gain health (there are also passives that make you immune to getting interrupted). It's a bad sign when the end game is pretty much just built around ignoring anything that the enemy can do (i.e. so you don't have to dodge, guard, or parry) and just killing the enemies before they get to do anything.

I tried to give this game a chance and have fun. I really did. I tried using light attack combos, then heavy attack combos, then charged heavy attacks, then trying to exploit weakpoints, then solely parrying, etc… I even tried changing the difficult between Normal and Hard. Nothing seems to work and I am just not enjoying this game very much. This just goes to show that just because something looks good on paper, there's all sorts of design decisions that the developers have to make so that the game is actually FUN to play through. Godfall, unfortunately, is not."
godfall,Not Recommended,68.3,"Posted: April 12, 2022
Good:
-Graphics are nice.
-Visual design is very ""epic"".
-Battles against 1 enemy are good.
-Game treats player with indulgence concerning a lot of things: you can respec anytime (aside from battle), if you die, you just respawn nearby (regular bosses will restore all health, ""difficult"" bosses will restore their health to either 33%, 66% or 100% depending on how much they had when you died), very easy to parry.
-Every weapon (5 of them) feels very different.
-Adequate price.
-No microtransactions. At all.
-Little thing, but I really liked boss introductions. When game shows boss(/es) that you will be killing now or soon while doing cool music.
-Sanctuary is a nice character.

Bad:
-Sanctuary is the only character I felt something towards during story.
-Story itself is very simple and almost non-existant.
-Only 5 characters (including MC) with at least some personality in whole game(in original campaign, in in-game addon there is one more character with ""face"") and only 1 of them has actual face and face animations.
-Ending of the original campaign sucks.
-Ending of the addon sucks.
-Menus (especially ""augments"") feel very slow and uncomfortable to go through.
-Every armor set (12 of them) has its own equipment loadout and skillpoints - you'll have to allocate items and skillpoints for all of them separately.
-Almost no difference between armor sets, aside from visuals.
-Camera is bad. It just can't catch up to enemy and I have to wait, in the middle of battle, for it to turn around.
-Game punishes player for playing agressively and rewards for playing slow and defensively. Can't cancel animations, enemies sometimes ignore you attacking them and proceed with their own attacks, parries and counterattacks deal more damage and sometimes allow you to do a takedown on enemy, one of the skills allowes you to overcharge your shield and make it reflect 25% of damage back to attackers.
-Battles against more than one enemy suck. They're just unfair. Whenever you start attacking one enemy, you immediately get attacked from behind by several others. The little arrow near character that supposed to show that you have enemies behind you is useless and almost impossible to see during battle. Enemies constantly attack through each other. Game often locks your camera like you're dueling one of them and turns you back to other enemies. Aim assist is horrible, I often thow my shield into wrong enemy despite me looking at the one I want to hit.
-Some enemies' animations are too quick and abrupt. Grieves or Excelsious, for example.
-Many bosses will constantly spawn adds which is bad because ""Battles against more than one enemy suck"".
-Exploration sucks. No interesting encounters, just corridors and little arenas with enemies. Only interactables are: chests, resources (1 for each area) and lore notes.
-Shield throw is the only way to hit interactables that are hanging in the air during explorations. The problem is - it has a CD. What is the point of a cooldown for shield throw outside of battle? If I miss the thing I need to hit I will have to just stand on one place for 30 seconds waiting for it to recharge. Why isn't it a free ability outside of battle without any CD or with very little CD (around few seconds max).
-Tower of loot is boring to play solo.
-Spirit realm mode is boring and very uncomfortable to play solo (have to constantly jump between realms to fight different enemies, can hold only 5 souls, etc.). It's obvious that these modes were made for coop.
-Lightbringer could be fun, but no - you just annihilate packs of enemies, but now with a timer and constant health decerease.
-Poise system is broken. You are a walking armor set, yet the enemy can just push you with his left hand and you will fall down on the ground. You, on the other hand, smash them with a giant two handed hammer and they dont give a ♥♥♥♥, unless you attack in a specific ""weakspot"" timing.
-How the hell do you manage to ♥♥♥♥ up lock on? Well, apparently devs managed to do even that. During boss battles camera randomly stops following boss and he just dissapears behind me.
-A lot of little inconvenient things that shouldn't be in game, like 30 seconds timer after the mission that you can't cancel or skip (apparently, you can skip that, my fault), no option to copy and paste allocated skillpoints to another armor set or inability to unequip all augments with one button instead of removing them one by one.
-Ah, yes. Another ""little"" thing: NO MAP. In a game where every world can almost be described as a ♥♥♥♥♥♥♥ labyrinth. Who, the ♥♥♥♥, designed this game?! Do they even have a video game experience?
-Bugs. Got stuck and had to restart last 20 minutes of game. Interface bugged and started blinking, had to restart the game several times for it to disappear. Some of items in inventory can become ""locked"" and you won't be able to dispose of them in any way. What is the point of locked items anyway, just allow me to salvage them no matter if they're equipped! Also, one of the story missions is bugged, if you destroy tethers before getting the mission to destroy them (which I did during my first playthrough) you'll have to restart the mission, because game will be waiting for you to destroy them, even though they are already destroyed.

I would only recommend the game if you have 1 or 2 friends to play with and it is on sale."
godfall,Recommended,108.4,"Posted: April 18, 2022
One of the best bad games I’ve played. $40? No. $20. Sure. Everything people have said about it is true. Boring story, poor UI, poor performance, bugs, mind boggling deaths, etc.

Yet I’m still playing it. I like the combat and seeing how much damage I can do. I like some of the Valorplates and weapons combos. I like the augments. The Ascendant Trials are madness with their ridiculous banes (looking at you “take 330% damage while sprinting” in a timed mode). The spirit realm is fine. Lightbringer is okay. Lots of loot if you’re into that.

Bottom line: if you’re a masochist with $20 to spare, try it out when it goes on sale."
