is_Recommended,hours_players,comment
Recommended,"8,036.4","Posted: August 14, 2020
Fun and relaxing game. Always something to do and the updates keep it interesting. I am 72, have tried to play other games, but they cannot compete with Stardew, so I only play Stardew. Thank you, Concerned Ape."
Recommended,166.9,"Posted: March 19, 2022
got depression? grow vegetable"
Recommended,100.5,"Posted: November 28, 2021
helped me cure my league of legends addiction"
Recommended,155.6,"Posted: April 1
I ask my crush to dance. She replies, ""Ew, no.""

10/10 incredibily realistic game."
Recommended,218.5,"Posted: December 20, 2020
Stardew Valley, where you wana try the game for just 5 minutes but end up playing for 9 hours"
Recommended,34.7,"Posted: December 15, 2020
this game let me live my wildest sexual fantasies of having a job and someone who actually loves me"
Recommended,648.9,"Posted: December 3, 2020
Very easily my favourite game. It's like playing a hug."
Recommended,112.2,"Posted: April 14, 2021
I ask my crush to dance. She replies, ""Ew, no.""

10/10 incredibily realistic game."
Recommended,53.1,"Posted: February 11, 2021
i play this when i'm sad"
Recommended,"2,648.4","Posted: November 14, 2021
This game got me through a really dark place in my life. I lost my job, spouse, and home in less than a year. I would chop wood and fish when I couldn't find the energy to do anything else and fall asleep on the couch listening to the background music. I've put thousands of hours into Stardew Valley. The little successes I had were the catalyst I needed to think maybe I could have little successes again in life, too. Highly recommend. Thank you for making this game."
Recommended,270.5,"Posted: September 13, 2021
Me playing Stardew Valley at 3am worrying about staying up too late in-game because I won't have enough energy the next day."
Recommended,730.6,"Posted: June 2
Horse can wear hat
10/10 game"
Recommended,7.2,"Posted: December 4, 2021
Ok so far from my game this is what I got:
> farming for first week
> mayor tells me to socialize with the townfolk
> decide to talk to random people
> lots of talking
> finally think i met everyone
> try to interact with trashcan
> find a salad in trash, untouched
> girl sees me digging in trash
> girl gets grossed out from me digging in the trash
> get mad, decide to follow her
> catch her walking towards lake
> turns out shes pretty
> want to know how to marry her
> find out that i can gift people
> dont know what to gift
> remembered i had salad from the trash that she saw me grab
> give salad to her
> she loves it
> advance a year or two later
> me and girl are married

Is this how true love works?

10/10 would dig in trash again"
